Model,Precision,Recall,F1_Score,Weight,Rank
Decision Tree,0.027908387683907174,0.989247311827957,0.05428529281604957,0.11661402640891969,3
Multi-Layer Perceptron,1.0,0.22043010752688172,0.36123348017621143,0.4212489059705468,1
Stochastic Gradient Descent,0.027558468642931624,0.9946236559139785,0.05363096100884186,0.11661402640891969,4
Qdrant Similarity,0.0,0.0,0.2962962962962963,0.3455230412116138,2
Ensemble,0.24864864864864866,0.24731182795698925,0.24797843665768193,1.0,0
