Model,Precision,Recall,F1_Score,Weight,Rank
Decision Tree,0.065413534,1,0.122794637,0.078955699,3
Multi-Layer Perceptron,0.806451613,0.574712644,0.67114094,0.431536782,1
Stochastic Gradient Descent,0.06169297,0.988505747,0.116137745,0.074675386,4
Qdrant Similarity,0.735294118,0.574712644,0.64516129,0.414832133,2
